,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
World Population Prospects: The 2015 Revision,,,,,,,,,,,,,,,,,
"File POP/2: Average annual rate of population change by major area, region and country, 1950-2100 (percentage)",,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2015",,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2015/POP/F02,,,,,,,,,,,,,,,,,
July 2015 - Copyright © 2015 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2015). World Population Prospects: The 2015 Revision, DVD Edition.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Average annual rate of population change (percentage),,,,,,,,,,,,
Index,Variant,"Major area, region, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
15,Estimates,Burundi,,108,1.84,1.92,2.00,2.32,1.23,2.31,2.92,3.24,2.11,1.63,3.18,3.52,3.34
16,Estimates,Comoros,,174,2.04,1.72,1.69,2.13,2.30,3.71,2.96,2.98,2.89,2.66,2.44,2.43,2.42
17,Estimates,Djibouti,,262,2.31,3.68,6.36,6.57,6.79,9.42,3.31,6.58,2.33,1.78,1.49,1.30,1.33
18,Estimates,Eritrea,,232,1.95,2.23,2.43,2.55,2.74,2.82,2.91,2.60,0.16,2.22,3.41,2.25,2.17
19,Estimates,Ethiopia,,231,1.91,2.10,2.43,2.55,2.73,1.58,2.92,3.29,3.50,2.98,2.85,2.67,2.53
20,Estimates,Kenya,,404,2.77,2.99,3.19,3.38,3.62,3.75,3.79,3.52,3.10,2.53,2.58,2.64,2.65
21,Estimates,Madagascar,,450,2.14,2.31,2.47,2.62,2.83,2.87,2.64,2.91,3.06,3.15,3.00,2.84,2.79
22,Estimates,Malawi,,454,1.93,2.13,2.30,2.52,2.79,3.05,3.13,5.34,0.86,2.61,2.60,2.94,3.06
23,Estimates,Mauritius,1,480,2.92,2.91,2.64,1.85,1.53,1.59,1.00,0.77,1.33,0.98,0.61,0.42,0.40
24,Estimates,Mayotte,,175,4.52,4.71,4.79,3.83,4.15,3.85,5.37,5.47,5.24,3.98,3.39,3.17,2.79
25,Estimates,Mozambique,,508,1.58,1.85,2.05,2.19,2.33,2.75,1.87,0.41,3.48,2.76,2.91,2.82,2.80
26,Estimates,Réunion,,638,3.23,2.81,3.04,3.35,0.96,0.99,1.85,1.78,1.96,1.79,1.44,0.96,0.73
27,Estimates,Rwanda,,646,2.89,2.99,1.94,2.99,2.99,3.30,3.48,3.42,-4.11,6.10,2.32,2.67,2.41
28,Estimates,Seychelles,,690,1.37,1.31,2.37,2.26,2.59,2.13,1.04,0.22,1.65,1.13,1.79,0.95,0.72
29,Estimates,Somalia,,706,1.92,2.02,2.15,2.31,2.38,9.01,-0.07,0.82,0.08,3.03,2.73,2.47,2.37
30,Estimates,South Sudan,,728,1.04,1.65,1.99,2.22,2.43,2.65,2.94,1.13,-1.10,4.10,3.82,4.33,4.09
31,Estimates,Uganda,,800,2.68,2.81,3.32,3.29,2.73,2.95,3.07,3.45,3.21,3.04,3.32,3.35,3.27
32,Estimates,United Republic of Tanzania,2,834,2.67,2.84,2.96,3.05,3.22,3.13,3.12,3.06,3.22,2.56,2.78,3.12,3.16
33,Estimates,Zambia,,894,2.64,2.86,3.09,3.24,3.49,3.48,3.37,2.98,2.56,2.69,2.58,2.89,3.05
